Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,pick_rate,Fang_total_count,Fang_average_count_per_deck,Fang_average_count_per_normalized_deck,Fang_pick_rate,Cindra_total_count,Cindra_average_count_per_deck,Cindra_average_count_per_normalized_deck,Cindra_pick_rate,"Arakni, Web of Deceit_total_count","Arakni, Web of Deceit_average_count_per_deck","Arakni, Web of Deceit_average_count_per_normalized_deck","Arakni, Web of Deceit_pick_rate",weighted_pick_rate
Wrath of Retribution (red),rare,1,HNT061,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT061.png,7pkFmgqjTzWQnPg7PLHDw,Red,1,3,3,3,,,,"Draconic, Ninja, Action, Attack",,"Legendary, Go again",,,,,,"""**Legendary**",,,,,,,,17,0.08415841584158416,0.0735718336318373,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.11351142695594578,0,0.0,0.0,0.0,17,0.3617021276595745,0.31620234880066245,0.4878589715359347,0,0.0,0.0,0.0,0.1626196571786449
Blood Drop (red),common,1,HNT062,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT062.png,zRDdtf8Tm6tfzKtjcThCC,Red,1,1,2,3,,,,"Draconic, Ninja, Action, Attack",,Go again,,,,,,"""This costs {r} less to play for each Draconic chain link you control.",,,,,,,,14,0.06930693069306931,0.06206282514300531,1.366667333333333,1.366667333333333,1.4167308000000005,0.050175516489348676,0,0.0,0.0,0.0,14,0.2978723404255319,0.2667380995507888,0.2156026951889238,0,0.0,0.0,0.0,0.0718675650629746
Blood Line (red),common,1,HNT063,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT063.png,cjKPgLQmgG9QwFQKWPrrM,Red,1,2,3,3,,,,"Draconic, Ninja, Action, Attack",,Go again,,,,,,"""This costs {r} less to play for each Draconic chain link you control.",,,,,,,,38,0.18811881188118812,0.1631121034155134,2.566667333333333,2.566667333333333,2.6667696,0.0724675220736193,0,0.0,0.0,0.0,38,0.8085106382978723,0.701034997658164,0.3113865972738248,0,0.0,0.0,0.0,0.10379553242460826
Burning Blade Dance (red),common,1,HNT064,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT064.png,GgH7CLN7mwL6HtRcjBjqR,Red,1,0,3,3,,,,"Draconic, Ninja, Action, Attack",,Go again,,,,,,"""If you control 2 or more Draconic chain links, this gets **go again** and """"When this hits a hero, you may have target dagger you control deal 1 damage to them. If damage is dealt this way, the dagger has hit. Destroy the dagger.""""""",Draconic Ninja Action - Attack,,,,,,,59,0.29207920792079206,0.2537614986874329,2.566667333333333,2.566667333333333,2.6667696,0.11251536321956682,0,0.0,0.0,0.0,59,1.2553191489361701,1.0906345262736479,0.4834686641883069,0,0.0,0.0,0.0,0.1611562213961023
Cinderskin Devotion (red),common,1,HNT065,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT065.png,tPLBbjkQQmCJRD9f8f7qm,Red,1,1,4,3,,,,"Draconic, Ninja, Action, Attack",,Go again,,,,,,"If you control 2 or more Draconic chain links, this gets **go again**.",Draconic Ninja Action - Attack,,,,,,,20,0.09900990099009901,0.08511322009563281,1.2,1.2,1.2500388,0.08151544077788046,0,0.0,0.0,0.0,20,0.425531914893617,0.3658057544535708,0.3502593649581953,0,0.0,0.0,0.0,0.11675312165273177
Dust Runner Outlaw (red),common,1,HNT066,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT066.png,w9NMmfttRBHm6fwjHhQbk,Red,1,1,4,2,,,,"Draconic, Ninja, Action, Attack",,Go again,,,,,,**Go again**,Draconic Ninja Action - Attack,,,,,,,41,0.20297029702970298,0.17842359393880783,2.4,2.4,2.5000776,0.08355332679732748,0,0.0,0.0,0.0,41,0.8723404255319149,0.7668418292689188,0.35901584908215023,0,0.0,0.0,0.0,0.11967194969405008
Hot on Their Heels (red),common,1,HNT067,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT067.png,dDw6tLrTHJMDftM86zRjK,Red,1,0,3,3,,,,"Draconic, Ninja, Action, Attack",,"Go again, Mark",,,,,,"""If you control 2 or more Draconic chain links, this gets **go again** and """"When this hits a hero, **mark** them.""""""",Draconic Ninja Action - Attack,,,,,,,55,0.2722772277227723,0.23705958271857994,2.566667333333333,2.566667333333333,2.6667696,0.10488720300129109,0,0.0,0.0,0.0,55,1.1702127659574468,1.0188518235990032,0.45069112763316743,0,0.0,0.0,0.0,0.15023037587772248
Lava Vein Loyalty (red),common,1,HNT068,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT068.png,BFpBkbT788fWNrCgGcWHt,Red,1,0,3,3,,,,"Draconic, Ninja, Action, Attack",,Go again,,,,,,"If you control 2 or more Draconic chain links, this gets **go again**.",Draconic Ninja Action - Attack,,,,,,,48,0.2376237623762376,0.20764906349463255,2.4,2.4,2.5000776,0.09781852893345655,0,0.0,0.0,0.0,48,1.0212765957446808,0.8924491665088463,0.4203112379498344,0,0.0,0.0,0.0,0.14010374598327813
Mark with Magma (red),common,1,HNT069,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT069.png,DcFccRh7KttKMbFkHnPqh,Red,1,1,4,3,,,,"Draconic, Ninja, Action, Attack",,"Go again, Mark",,,,,,"""If you control 2 or more Draconic chain links, this gets **go again** and """"When this hits a hero, **mark** them.""""""",Draconic Ninja Action - Attack,,,,,,,54,0.26732673267326734,0.23584644696518567,2.566667333333333,2.566667333333333,2.6667696,0.10298016294672217,0,0.0,0.0,0.0,54,1.148936170212766,1.0136379209993087,0.4424967434943826,0,0.0,0.0,0.0,0.14749891449812755
Ronin Renegade (red),common,1,HNT070,"Draconic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT070.png,JWGCCknwHPjTKzpwpnBcJ,Red,1,0,3,2,,,,"Draconic, Ninja, Action, Attack",,Go again,,,,,,**Go again**,Draconic Ninja Action - Attack,,,,,,,56,0.27722772277227725,0.2363092820154272,2.4,2.4,2.5000776,0.11412161708903265,0,0.0,0.0,0.0,56,1.1914893617021276,1.015627126959921,0.49036311094147345,0,0.0,0.0,0.0,0.16345437031382448
Art of the Dragon: Blood (red),mythic,1,HNT071,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT071.png,GpCFNqmnBGdcrgqPHQMGC,Red,1,0,4,3,,,,"Ninja, Action, Attack",,Go again,,,,,,"When this attacks, if it is Draconic, it gets **go again** and the next 3 Draconic cards you play this turn cost {r} less to play.",Ninja Action - Attack,,,,No,No,,8,0.039603960396039604,0.03466228505119778,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.17076296422819012,0,0.0,0.0,0.0,8,0.1702127659574468,0.14897407617748834,0.7339021319489984,0,0.0,0.0,0.0,0.24463404398299948
Devotion Never Dies (red),mythic,1,HNT072,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT072.png,wdQd78FWKJBKQCGTHtpDb,Red,1,1,4,2,,,,"Ninja, Action, Attack",,Go again,,,,,,"""When this hits, if a Draconic attack was the last attack this combat chain, banish this. If you do, you may play it this turn.",,,,,,,,3,0.01485148514851485,0.013437057991513438,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.06403611158557129,0,0.0,0.0,0.0,3,0.06382978723404255,0.057750759878419454,0.2752132994808744,0,0.0,0.0,0.0,0.0917377664936248
Prowess of Agility (blue),mythic,3,HNT073,"Ninja, Action, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT073.png,D9BrCpJrGhbWC8BwDbkjW,Blue,3,0,,3,,,,"Ninja, Action, Aura",,,,,,,,"""When you attack for the fourth time during a turn, you may destroy this. If you do, draw a card.",,,,,,,,5,0.024752475247524754,0.02075767422302076,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.10672685264261883,0,0.0,0.0,0.0,5,0.10638297872340426,0.08921383389468496,0.45868883246812403,0,0.0,0.0,0.0,0.15289627748937468
Art of the Dragon: Claw (red),rare,1,HNT074,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT074.png,NFwCqzTPKgDMPwMdFhbP7,Red,1,1,5,3,,,,"Ninja, Action, Attack",,,,,,,,"""When this attacks, if it is Draconic, it gets """"When this hits a hero, destroy all cards in their arsenal.""""""",Ninja Action - Attack,,,,,No,,16,0.07920792079207921,0.06886502558391479,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.10683428419383131,0,0.0,0.0,0.0,16,0.3404255319148936,0.295973088679804,0.45916138497499737,0,0.0,0.0,0.0,0.1530537949916658
Art of the Dragon: Fire (red),rare,1,HNT075,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT075.png,KrwdmQ7RpjpPhf8Hmg6ct,Red,1,1,5,3,,,,"Ninja, Action, Attack",,,,,,,,"When this attacks, if it is Draconic, deal 2 damage to any target.",Ninja Action - Attack,,,,,No,,17,0.08415841584158416,0.07448393459604875,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.11351142695594578,0,0.0,0.0,0.0,17,0.3617021276595745,0.32012244230642234,0.4878589715359347,0,0.0,0.0,0.0,0.1626196571786449
Art of the Dragon: Scale (red),rare,1,HNT076,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT076.png,cNjtmFrD8bMPtTfgzmcJf,Red,1,1,5,3,,,,"Ninja, Action, Attack",,,,,,,,"""When this attacks, if it is Draconic, it gets """"When this hits a hero, put a -1{d} counter on an equipment they control. Then if it has 0{d}, destroy it.""""""",Ninja Action - Attack,,,,,No,,7,0.034653465346534656,0.031006461990736884,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.0467399993348012,0,0.0,0.0,0.0,7,0.14893617021276595,0.13326181536444362,0.20088310592656136,0,0.0,0.0,0.0,0.06696103530885379
Dragon Power (red),rare,1,HNT077,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT077.png,QGp9LdRwfGKzQnpHrbJtN,Red,1,1,4,3,,,,"Ninja, Action, Attack",,,,,,,,"When this attacks, if it is Draconic, it gets +3{p}.",Ninja Action - Attack,,,,,No,,13,0.06435643564356436,0.05637507828091382,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.08680285590748794,0,0.0,0.0,0.0,13,0.2765957446808511,0.24229288963286366,0.3730686252921854,0,0.0,0.0,0.0,0.12435620843072846
Dragon Power (yellow),rare,2,HNT078,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT078.png,H9JwchwDzHrRr8Ldkwwtw,Yellow,2,1,3,3,,,,"Ninja, Action, Attack",,,,,,,,"When this attacks, if it is Draconic, it gets +3{p}.",Ninja Action - Attack,,,,,No,,7,0.034653465346534656,0.029307048897330292,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.0467399993348012,0,0.0,0.0,0.0,7,0.14893617021276595,0.12595795483533445,0.20088310592656136,0,0.0,0.0,0.0,0.06696103530885379
Dragon Power (blue),rare,3,HNT079,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT079.png,dbTzPk8nMMBcPzTnnnDRk,Blue,3,1,2,3,,,,"Ninja, Action, Attack",,,,,,,,"When this attacks, if it is Draconic, it gets +3{p}.",Ninja Action - Attack,,,,,No,,12,0.0594059405940594,0.052885037919561104,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.08012571314537349,0,0.0,0.0,0.0,12,0.2553191489361702,0.2272931416968371,0.344371038731248,0,0.0,0.0,0.0,0.11479034624374934
Silver Talons (red),rare,1,HNT080,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT080.png,QBdRfJk6kfmbcf6RLDrPJ,Red,1,0,4,3,,,,"Ninja, Action, Attack",,,,,,,,"When this attacks a hero, if it is Draconic, you may have target dagger you control deal 1 damage to them. If damage is dealt this way, the dagger has hit. Destroy the dagger.",Ninja Action - Attack,,,,,No,,18,0.0891089108910891,0.07582704697402373,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.12018856971806023,0,0.0,0.0,0.0,18,0.3829787234042553,0.32589496784580413,0.5165565580968721,0,0.0,0.0,0.0,0.172185519365624
Silver Talons (yellow),rare,2,HNT081,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT081.png,jJQ8KwFgn6cPHpLjfgRjr,Yellow,2,0,3,3,,,,"Ninja, Action, Attack",,,,,,,,"When this attacks a hero, if it is Draconic, you may have target dagger you control deal 1 damage to them. If damage is dealt this way, the dagger has hit. Destroy the dagger.",Ninja Action - Attack,,,,,No,,7,0.034653465346534656,0.030288392063443404,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.0467399993348012,0,0.0,0.0,0.0,7,0.14893617021276595,0.13017564248543761,0.20088310592656136,0,0.0,0.0,0.0,0.06696103530885379
Silver Talons (blue),rare,3,HNT082,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT082.png,zhP7z88wWHj68BTGFKpFw,Blue,3,0,2,3,,,,"Ninja, Action, Attack",,,,,,,,"When this attacks a hero, if it is Draconic, you may have target dagger you control deal 1 damage to them. If damage is dealt this way, the dagger has hit. Destroy the dagger.",Ninja Action - Attack,,,,,No,,11,0.054455445544554455,0.04657860673678724,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.07344857038325903,0,0.0,0.0,0.0,11,0.23404255319148937,0.2001889055495962,0.3156734521703107,0,0.0,0.0,0.0,0.10522448405677022
Fire Tenet: Strike First (red),common,1,HNT083,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT083.png,fJ6NzRBP9hRRcQLPLTDrf,Red,1,0,3,2,,,,"Ninja, Action, Attack",,Go again,,,,,,"""When this attacks, your next Draconic attack this combat chain gets +1{p}.",,,,,,,,58,0.2871287128712871,0.2457778466384358,2.566667333333333,2.566667333333333,2.6667696,0.11060832316499788,0,0.0,0.0,0.0,58,1.2340425531914894,1.0563218089566815,0.47527428004952205,0,0.0,0.0,0.0,0.15842476001650735
Fire Tenet: Strike First (yellow),common,2,HNT084,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT084.png,wLWmztzbRkrFkgzPCP6hT,Yellow,2,0,2,2,,,,"Ninja, Action, Attack",,Go again,,,,,,"""When this attacks, your next Draconic attack this combat chain gets +1{p}.",,,,,,,,25,0.12376237623762376,0.10940757109447588,1.366667333333333,1.366667333333333,1.4167308000000005,0.08959913658812264,0,0.0,0.0,0.0,25,0.5319148936170213,0.4702197736400878,0.38500481283736393,0,0.0,0.0,0.0,0.12833493761245465
Fire Tenet: Strike First (blue),common,3,HNT085,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT085.png,M9QNfBrcmp9zBJhztzDM7,Blue,3,0,1,2,,,,"Ninja, Action, Attack",,Go again,,,,,,"""When this attacks, your next Draconic attack this combat chain gets +1{p}.",,,,,,,,31,0.15346534653465346,0.13476441253008078,1.366667333333333,1.366667333333333,1.4167308000000005,0.11110292936927207,0,0.0,0.0,0.0,31,0.6595744680851063,0.5792002410867302,0.4774059679183313,0,0.0,0.0,0.0,0.15913532263944377
Grow Claws (red),common,1,HNT086,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT086.png,LT6DJwbzTFg8pwp6dGG6M,Red,1,1,4,2,,,,"Ninja, Action, Attack",,Go again,,,,,,"""If a Draconic attack was the last attack this combat chain, this gets +1{p}.",,,,,,,,42,0.2079207920792079,0.18705605460967048,2.566667333333333,2.566667333333333,2.6667696,0.08009568229189502,0,0.0,0.0,0.0,42,0.8936170212765957,0.8039430432160306,0.3441641338289642,0,0.0,0.0,0.0,0.11472137794298808
Grow Claws (yellow),common,2,HNT087,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT087.png,K7MCKJGwJDzMzgHPbrRDw,Yellow,2,1,3,2,,,,"Ninja, Action, Attack",,Go again,,,,,,"""If a Draconic attack was the last attack this combat chain, this gets +1{p}.",,,,,,,,15,0.07425742574257425,0.06553647030074705,1.366667333333333,1.366667333333333,1.4167308000000005,0.05375948195287358,0,0.0,0.0,0.0,15,0.3191489361702128,0.28166738299470007,0.23100288770241836,0,0.0,0.0,0.0,0.07700096256747278
Grow Claws (blue),common,3,HNT088,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT088.png,pkLRWtNDtBTQH8fkFJ8hb,Blue,3,1,2,2,,,,"Ninja, Action, Attack",,Go again,,,,,,"""If a Draconic attack was the last attack this combat chain, this gets +1{p}.",,,,,,,,46,0.22772277227722773,0.2009440883096653,2.566667333333333,2.566667333333333,2.6667696,0.08772384251017074,0,0.0,0.0,0.0,46,0.9787234042553191,0.8636320391181359,0.3769416703841037,0,0.0,0.0,0.0,0.1256472234613679
Grow Wings (red),common,1,HNT089,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT089.png,tLQ97QFt6qWCTPqbng7W7,Red,1,0,3,3,,,,"Ninja, Action, Attack",,Go again,,,,,,"If a Draconic attack was the last attack this combat chain, this gets **go again**.",Ninja Action - Attack,,,,,,,41,0.20297029702970298,0.1753483379629909,2.566667333333333,2.566667333333333,2.6667696,0.07818864223732609,0,0.0,0.0,0.0,41,0.8723404255319149,0.7536247716707268,0.3359697496901794,0,0.0,0.0,0.0,0.11198991656339313
Grow Wings (yellow),common,2,HNT090,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT090.png,BdMBk67WBktQwcBmff9rm,Yellow,2,0,2,3,,,,"Ninja, Action, Attack",,Go again,,,,,,"If a Draconic attack was the last attack this combat chain, this gets **go again**.",Ninja Action - Attack,,,,,,,25,0.12376237623762376,0.10884937910157846,1.366667333333333,1.366667333333333,1.4167308000000005,0.08959913658812264,0,0.0,0.0,0.0,25,0.5319148936170213,0.467820735713167,0.38500481283736393,0,0.0,0.0,0.0,0.12833493761245465
Grow Wings (blue),common,3,HNT091,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT091.png,tNqhWw8WPHzbjBjRcNzMp,Blue,3,0,1,3,,,,"Ninja, Action, Attack",,Go again,,,,,,"If a Draconic attack was the last attack this combat chain, this gets **go again**.",Ninja Action - Attack,,,,,,,50,0.24752475247524752,0.21457569900825105,2.566667333333333,2.566667333333333,2.6667696,0.09535200272844645,0,0.0,0.0,0.0,50,1.0638297872340425,0.9222189616950365,0.40971920693924313,0,0.0,0.0,0.0,0.13657306897974772
Tag the Target (red),common,1,HNT092,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT092.png,nzwjQnhrKth6NkJHKHKnD,Red,1,0,3,2,,,,"Ninja, Action, Attack",,"Go again, Mark",,,,,,"""When this hits a hero, **mark** them.",,,,,,,,52,0.25742574257425743,0.22439277246524117,2.566667333333333,2.566667333333333,2.6667696,0.09916608283758431,0,0.0,0.0,0.0,52,1.1063829787234043,0.9644114901697599,0.4261079752168129,0,0.0,0.0,0.0,0.14203599173893763
Tag the Target (yellow),common,2,HNT093,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT093.png,mzgkQrfmk8LtFjnQzQqgM,Yellow,2,0,2,2,,,,"Ninja, Action, Attack",,"Go again, Mark",,,,,,"""When this hits a hero, **mark** them.",,,,,,,,32,0.15841584158415842,0.13904801758231536,2.566667333333333,2.566667333333333,2.6667696,0.06102528174620573,0,0.0,0.0,0.0,32,0.6808510638297872,0.5976106287580362,0.2622202924411156,0,0.0,0.0,0.0,0.08740676414703853
Tag the Target (blue),common,3,HNT094,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT094.png,qnKjmr6mDJDGbhn6mQdkp,Blue,3,0,1,2,,,,"Ninja, Action, Attack",,"Go again, Mark",,,,,,"""When this hits a hero, **mark** them.",,,,,,,,18,0.0891089108910891,0.07905942349776134,1.366667333333333,1.366667333333333,1.4167308000000005,0.0645113783434483,0,0.0,0.0,0.0,18,0.3829787234042553,0.33978730950101677,0.277203465242902,0,0.0,0.0,0.0,0.09240115508096734
Trap and Release (red),common,1,HNT095,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT095.png,mGmcTdzdtkJWq8D8Tnrgj,Red,1,1,4,2,,,,"Ninja, Action, Attack",,"Go again, Mark",,,,,,"""When this hits a hero, **mark** them.",,,,,,,,35,0.17326732673267325,0.1494278908359663,2.566667333333333,2.566667333333333,2.6667696,0.06674640190991252,0,0.0,0.0,0.0,35,0.7446808510638298,0.6422219989120255,0.2868034448574702,0,0.0,0.0,0.0,0.0956011482858234
Trap and Release (yellow),common,2,HNT096,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT096.png,tJkqhqDjdMM76hrkMmJJD,Yellow,2,1,3,2,,,,"Ninja, Action, Attack",,"Go again, Mark",,,,,,"""When this hits a hero, **mark** them.",,,,,,,,5,0.024752475247524754,0.021805752003771803,1.366667333333333,1.366667333333333,1.4167308000000005,0.017919827317624527,0,0.0,0.0,0.0,5,0.10638297872340426,0.09371833839918946,0.07700096256747278,0,0.0,0.0,0.0,0.025666987522490928
Trap and Release (blue),common,3,HNT097,"Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT097.png,p6DK6rNGjz8HrpwNmCgQL,Blue,3,1,2,2,,,,"Ninja, Action, Attack",,"Go again, Mark",,,,,,"""When this hits a hero, **mark** them.",,,,,,,,37,0.18316831683168316,0.16169562856224778,2.566667333333333,2.566667333333333,2.6667696,0.07056048201905038,0,0.0,0.0,0.0,37,0.7872340425531915,0.6949471695654054,0.3031922131350399,0,0.0,0.0,0.0,0.1010640710450133
Hunt's End (red),mythic,1,HNT101,"Draconic, Warrior, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT101.png,dnK9JddMWTf6RgcBWGjn6,Red,1,0,,3,,,,"Draconic, Warrior, Attack Reaction",,,,,,,,"""Play this only if you control 3 or more Fealty tokens.",,,,,,,,3,0.01485148514851485,0.012909185655407648,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.06403611158557129,3,0.03571428571428571,0.031043517885623154,0.15402809657315214,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05134269885771738
Long Whisker Loyalty (red),mythic,1,HNT102,"Draconic, Warrior, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT102.png,969HqThPzMmQtFhM9mNq8,Red,1,0,,3,,,,"Draconic, Warrior, Attack Reaction",,,,,,,,"""For each Draconic chain link you control, choose 1;",,,,,,,,5,0.024752475247524754,0.02228519815928462,0.23167999999999994,0.23167999999999994,0.23251399999999986,0.10672685264261883,5,0.05952380952380952,0.05359059557351778,0.2567134942885869,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0855711647628623
Affirm Loyalty (red),rare,1,HNT103,"Draconic, Warrior, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT103.png,7brgFMk9NrkLtzqKrhFFW,Red,1,0,,2,,,,"Draconic, Warrior, Attack Reaction",,,,,,,,"Target dagger attack gets +2{p}. If you control 2 or more Draconic chain links, create a Fealty token.",Draconic Warrior Attack Reaction,,,,,No,,27,0.13366336633663367,0.1181063208780827,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.18028285457709034,27,0.32142857142857145,0.2840175811591989,0.4335237035854913,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.14450790119516377
Endear Devotion (red),rare,1,HNT104,"Draconic, Warrior, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT104.png,9zPDb7dgNqTgDTpGNDQHg,Red,1,1,,2,,,,"Draconic, Warrior, Attack Reaction",,,,,,,,"Target dagger attack gets +3{p}. If you control 2 or more Draconic chain links, create a Fealty token.",Draconic Warrior Attack Reaction,,,,,No,,20,0.09900990099009901,0.08879949842478259,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.13354285524228915,20,0.23809523809523808,0.21354165097388195,0.32112866932258616,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10704288977419539
Fire and Brimstone (red),rare,1,HNT105,"Draconic, Warrior, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT105.png,P8MBHdhfJLMQ6qdPdWpCL,Red,1,2,,3,,,,"Draconic, Warrior, Attack Reaction",,Legendary,,,,,,"""**Legendary**",,,,,,,,16,0.07920792079207921,0.07338921954037404,0.7415125818181817,0.7415125818181817,0.7411586181818177,0.10683428419383131,16,0.19047619047619047,0.1764835993708995,0.2569029354580689,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08563431181935631
Blistering Blade (red),common,1,HNT106,"Draconic, Warrior, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT106.png,PRNMJn6THmFNCk9h68Bcw,Red,1,0,,2,,,,"Draconic, Warrior, Attack Reaction",,,,,,,,"Target dagger attack gets +2{p}. If you control 2 or more Draconic chain links, instead it gets +3{p}.",Draconic Warrior Attack Reaction,,,,,,,75,0.3712871287128713,0.3234074748420765,2.566667333333333,2.566667333333333,2.666846400000001,0.14302676817263604,75,0.8928571428571429,0.7777179752154696,0.3448221035090276,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11494070116967586
Brothers of Flame (red),common,1,HNT107,"Draconic, Warrior, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2025-HNT/EN/HNT107.png,tkHRmr67MT8GCPJBHMwBH,Red,1,1,,3,,,,"Draconic, Warrior, Attack Reaction",,,,,,,,"""Play this only if you control 2 or more Draconic chain links.",,,,,,,,39,0.19306930693069307,0.16951534724342826,1.366667333333333,1.366667333333333,1.4167692000000005,0.13977351813996441,39,0.4642857142857143,0.40764404932348225,0.3369272485582324,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11230908285274414
