Name,rarity,mana_cost,collector_number,type,image_url,Unique ID,Color,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Traits,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Silver Age Legal,Commoner Legal,LL Legal,total_count,average_count_per_deck,average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,draft_average_occurrence4,draft_average_occurrence5,draft_average_occurrence6,pick_rate,"Aurora, Emissary of Lightning_total_count","Aurora, Emissary of Lightning_average_count_per_deck","Aurora, Emissary of Lightning_average_count_per_normalized_deck","Aurora, Emissary of Lightning_pick_rate","Oscilio, Scion of the Third Age_total_count","Oscilio, Scion of the Third Age_average_count_per_deck","Oscilio, Scion of the Third Age_average_count_per_normalized_deck","Oscilio, Scion of the Third Age_pick_rate",Zyggy_total_count,Zyggy_average_count_per_deck,Zyggy_average_count_per_normalized_deck,Zyggy_pick_rate,weighted_pick_rate
Erode Authority (red),rare,1,OMN044,"Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN044.webp,dmGpmBBdMCt7dTpGHmjmr,Red,1,3,7,3,,,,"Illusionist, Action, Attack",,"Dominate, Fragment",,,,,,"""**Dominate**",,,,,,,,26,0.07580174927113703,0.06374361126017426,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.0989629774862911,0,0.0,0.0,0.0,0,0.0,0.0,0.0,26,0.2826086956521739,0.23765281154608447,0.36983741937129594,0.12327913979043198
Erode Authority (yellow),rare,2,OMN045,"Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN045.webp,hFtq9BPKqRgdTGQF9mpRN,Yellow,2,3,6,3,,,,"Illusionist, Action, Attack",,"Dominate, Fragment",,,,,,"""**Dominate**",,,,,,,,21,0.061224489795918366,0.051772532915742075,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.07993163566200434,0,0.0,0.0,0.0,0,0.0,0.0,0.0,21,0.22826086956521738,0.1930215085880384,0.2987148387229698,0.09957161290765659
Erode Authority (blue),rare,3,OMN046,"Illusionist, Action, Attack",https://prod-content.fabrary.io/cards/OMN046.webp,B9PzLK6qCpDjDpPHmmFdF,Blue,3,3,5,3,,,,"Illusionist, Action, Attack",,"Dominate, Fragment",,,,,,"""**Dominate**",,,,,,,,13,0.037900874635568516,0.03170491451988261,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.04948148874314555,0,0.0,0.0,0.0,0,0.0,0.0,0.0,13,0.14130434782608695,0.11820419217738844,0.18491870968564797,0.06163956989521599
Snap Fingers,common,0,OMN050,"Lightning, Runeblade, Equipment, Arms",https://prod-content.fabrary.io/cards/OMN050.webp,9t6zhmKcwhjTK8RRGCnTz,,,,,0,,,1,"Lightning, Runeblade, Equipment, Arms",,,Instant,,,,,"**Instant** - {r}, destroy this: Target Lightning attack action card you control on the active chain link deals 1 arcane damage to the defending hero.",Lightning Runeblade Equipment - Arms,,,,,,,61,0.17784256559766765,0.0,1.7142857142857149,1.8742430589937933,0.6666666666666669,0.6666666666666665,1.6216216216216217,1.621621621621621,0.11133657243464078,61,0.5596330275229358,0.0,0.3507340455093905,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11691134850313017
Tempestuous Kiss (red),mythic,1,OMN051,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN051.webp,dJkKN8JqCpJTtG9TPHM7n,Red,1,2,5,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets +1{p} and """"When this attacks a hero, deal 1 arcane damage to them.""""",,,,,,,,28,0.08163265306122448,0.07009780257253515,0.5536304346328936,0.45558331731693247,0.3662809917355372,0.32,0.32,0.4666666666666669,0.19150389474521284,28,0.25688073394495414,0.2205829934163262,0.6262413572187226,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.20874711907290755
Arcanic Reproach (blue),mythic,3,OMN052,"Lightning, Runeblade, Instant, Aura",https://prod-content.fabrary.io/cards/OMN052.webp,jm9pR68kPHDjmkLRcJq9p,Blue,3,0,,3,,,1,"Lightning, Runeblade, Instant, Aura",,,,,,,,"""The first time an opposing hero deals damage to you each turn, you may reveal a Lightning card from your hand. If you do, deal 1 arcane damage to them.",,,,,,,,19,0.05539358600583091,0.04772180996636944,0.5536304346328936,0.45558331731693247,0.3662809917355372,0.4191735537190082,0.4191735537190082,0.5352380952380951,0.1141698421168496,19,0.1743119266055046,0.15017046622444696,0.36682661173771974,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.12227553724590658
Dashing Flashfoot (yellow),rare,2,OMN053,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN053.webp,8m9Tr996zccnJhHcQKhFr,Yellow,2,1,3,3,,,,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets +1{p} and """"When this attacks a hero, deal 1 arcane damage to them.""""",,,,,,,,41,0.119533527696793,0.10050564712184998,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.15605700295915134,41,0.3761467889908257,0.31627006387884904,0.49092620908598006,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1636420696953267
Electryn Mindmeld (yellow),rare,2,OMN054,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN054.webp,BBj7tdpTkLpgrhCrq9qRh,Yellow,2,1,3,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets +1{p} and """"When this attacks a hero, deal 1 arcane damage to them.""""",,,,,,,,28,0.08163265306122448,0.06895596043282769,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.10657551421600579,28,0.25688073394495414,0.21698985714183391,0.33526667937579124,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11175555979193041
Prophetic Quickstep (yellow),rare,2,OMN055,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN055.webp,bRKLFbq7gKkdTQnqBmWgC,Yellow,2,1,3,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets +1{p} and """"When this attacks a hero, deal 1 arcane damage to them.""""",,,,,,,,28,0.08163265306122448,0.06841142928265748,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.10657551421600579,28,0.25688073394495414,0.21527633251331665,0.33526667937579124,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11175555979193041
Stinging Sprite (red),rare,1,OMN056,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN056.webp,9g9FTKT6DqqrcKHnMGdWD,Red,1,0,3,2,,,1,"Lightning, Runeblade, Action, Attack",,,,,,,,"When this attacks or defends, deal 1 arcane damage to target hero.",Lightning Runeblade Action - Attack,,,,,No,,27,0.07871720116618076,0.06564570915386429,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.10276924585114844,27,0.24770642201834864,0.20657319486032524,0.32329286939808444,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10776428979936148
Stinging Sprite (yellow),rare,2,OMN057,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN057.webp,NTfKzDBrKMPQ8LjGcWn6q,Yellow,2,0,2,2,,,1,"Lightning, Runeblade, Action, Attack",,,,,,,,"When this attacks or defends, deal 1 arcane damage to target hero.",Lightning Runeblade Action - Attack,,,,,No,,21,0.061224489795918366,0.051582123025361984,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.07993163566200434,21,0.1926605504587156,0.1623180568596253,0.25145000953184343,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08381666984394781
Stinging Sprite (blue),rare,3,OMN058,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN058.webp,Fccdnhg8DpLB6cTgjFgcw,Blue,3,0,1,2,,,1,"Lightning, Runeblade, Action, Attack",,,,,,,,"When this attacks or defends, deal 1 arcane damage to target hero.",Lightning Runeblade Action - Attack,,,,,No,,28,0.08163265306122448,0.06727755645010518,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.10657551421600579,28,0.25688073394495414,0.21170827396684472,0.33526667937579124,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11175555979193041
Mercurial Skies (red),rare,1,OMN059,"Lightning, Runeblade, Action",https://prod-content.fabrary.io/cards/OMN059.webp,7ctThgNHLCTRztRgQKhk7,Red,1,0,,2,,,3,"Lightning, Runeblade, Action",,Go again,,,Go again,,,"""The next Runeblade or Lightning attack action card you play this turn gets **go again** and """"The first time this deals damage to a hero, you may destroy a Lightning Flow you control. If you do, deal 3 arcane damage to them.""""",,,,,,,,37,0.10787172011661808,0.09138586630767714,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.14083192949972195,37,0.3394495412844037,0.2875720380140666,0.4430309691751527,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.14767698972505092
Mercurial Skies (yellow),rare,2,OMN060,"Lightning, Runeblade, Action",https://prod-content.fabrary.io/cards/OMN060.webp,mRgkGjNqnHPpwcwzwLwHJ,Yellow,2,0,,2,,,2,"Lightning, Runeblade, Action",,Go again,,,Go again,,,"""The next Runeblade or Lightning attack action card you play this turn gets **go again** and """"The first time this deals damage to a hero, you may destroy a Lightning Flow you control. If you do, deal 2 arcane damage to them.""""",,,,,,,,26,0.07580174927113703,0.0628033981068804,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.0989629774862911,26,0.23853211009174313,0.19762904174917412,0.3113190594203776,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10377301980679253
Mercurial Skies (blue),rare,3,OMN061,"Lightning, Runeblade, Action",https://prod-content.fabrary.io/cards/OMN061.webp,RmCnthNDKJ977KcRNmMbg,Blue,3,0,,2,,,1,"Lightning, Runeblade, Action",,Go again,,,Go again,,,"""The next Runeblade or Lightning attack action card you play this turn gets **go again** and """"The first time this deals damage to a hero, you may destroy a Lightning Flow you control. If you do, deal 1 arcane damage to them.""""",,,,,,,,22,0.0641399416909621,0.05413942032440389,0.7731603341528761,0.7555256582740724,0.7778512396694216,0.7788317691553437,0.7788317691553437,0.7443502824858751,0.0837379040268617,22,0.2018348623853211,0.1703653318465187,0.26342381950955024,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08780793983651675
Destructive Fleetfoot (red),common,1,OMN062,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN062.webp,q9GwnnJTPk9KpPNdpW6wL,Red,1,0,3,3,,,,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets +1{p}.",,,,,,,,112,0.32653061224489793,0.27388937090390447,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.11793807191519365,112,1.0275229357798166,0.8618720570645801,0.3706427549927677,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.12354758499758924
Destructive Fleetfoot (yellow),common,2,OMN063,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN063.webp,DqhpdDNnfhtrRH6pcfj8B,Yellow,2,0,2,3,,,,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets +1{p}.",,,,,,,,44,0.1282798833819242,0.10779193176588225,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,1.5547556656204107,1.458006968641115,0.06624635182151517,44,0.4036697247706422,0.33919846418071203,0.21847365669632376,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07282455223210792
Destructive Fleetfoot (blue),common,3,OMN064,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN064.webp,d9tCqMqtdwFCmHMbRFGzd,Blue,3,0,1,3,,,,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets +1{p}.",,,,,,,,100,0.2915451895043732,0.24609937371696214,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.10530184992428004,100,0.9174311926605505,0.7744227998616331,0.3309310312435426,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11031034374784754
Path of Same Ends (red),common,1,OMN065,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN065.webp,LBFrKWRLJkKBgLc9nKmBb,Red,1,0,3,2,,,1,"Lightning, Runeblade, Action, Attack",,Go again,Instant,,,,,"""When this attacks a hero, deal 1 arcane damage to them. If damage is dealt this way, this gets **go again**.",,,,,,,,149,0.43440233236151604,0.3630230976075329,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,3.262072738791143,3.043372822299651,0.14593295818901325,149,1.3669724770642202,1.1423570869668236,0.45513848305858867,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.15171282768619623
Path of Same Ends (yellow),common,2,OMN066,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN066.webp,GQkkQFm9FHbRhCkTJm7Gj,Yellow,2,0,2,2,,,1,"Lightning, Runeblade, Action, Attack",,Go again,Instant,,,,,"""When this attacks a hero, deal 1 arcane damage to them. If damage is dealt this way, this gets **go again**.",,,,,,,,121,0.35276967930029157,0.2993353493566737,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.12741523840837887,121,1.110091743119266,0.9419451819205421,0.40042654780468656,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1334755159348955
Path of Same Ends (blue),common,3,OMN067,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN067.webp,LQt7KLBFHmdk7BKwdtD6M,Blue,3,0,1,2,,,1,"Lightning, Runeblade, Action, Attack",,Go again,Instant,,,,,"""When this attacks a hero, deal 1 arcane damage to them. If damage is dealt this way, this gets **go again**.",,,,,,,,69,0.20116618075801748,0.17025428990797845,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,1.5547556656204107,1.458006968641115,0.10388632444737607,69,0.6330275229357798,0.5357543251232717,0.34260641618287135,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11420213872762379
Rush of Power (red),common,1,OMN068,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN068.webp,jbmgCjPjGMC9g6688q8RM,Red,1,0,3,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets +1{p}.",,,,,,,,99,0.2886297376093295,0.24341189712768244,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.10424883142503724,99,0.908256880733945,0.765965878117386,0.3276217209311072,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10920724031036906
Rush of Power (yellow),common,2,OMN069,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN069.webp,qtJwHkr8WgjHJcC9gNPGj,Yellow,2,0,2,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets +1{p}.",,,,,,,,43,0.12536443148688048,0.10617228851190519,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,1.2132922509862645,1.1409337979094076,0.0725344611688211,43,0.3944954128440367,0.3341017886200319,0.24403787508094044,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08134595836031348
Rush of Power (blue),common,3,OMN070,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN070.webp,mr9jJffnHHHcrG9p8fdMP,Blue,3,0,1,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets +1{p}.",,,,,,,,67,0.19533527696793002,0.16707059583850736,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,1.5547556656204107,1.458006968641115,0.10087512663730719,67,0.6146788990825688,0.525735911675303,0.33267579542394754,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11089193180798251
Singeing Flowstride (red),common,1,OMN071,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN071.webp,Mzq9qrLQtHKjNTgkDqtwB,Red,1,1,4,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets """"When this attacks a hero, deal 1 arcane damage to them.""""",,,,,,,,133,0.3877551020408163,0.32949110178718966,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.14005146039929248,133,1.2201834862385321,1.0368389716789546,0.44013827155391166,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.14671275718463722
Singeing Flowstride (yellow),common,2,OMN072,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN072.webp,NCPg8kRTF8gMFfrpkc8p8,Yellow,2,1,3,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets """"When this attacks a hero, deal 1 arcane damage to them.""""",,,,,,,,98,0.2857142857142857,0.24247486698254056,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.10319581292579445,98,0.8990825688073395,0.7630172419725818,0.3243124106186718,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1081041368728906
Singeing Flowstride (blue),common,3,OMN073,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN073.webp,wJLdrWjMqLQL8r7wMc8Rg,Blue,3,1,2,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets """"When this attacks a hero, deal 1 arcane damage to them.""""",,,,,,,,109,0.3177842565597668,0.26799402404268413,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.11477901641746525,109,1.0,0.8433206444645932,0.36071482405546146,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.12023827468515381
Stunning Swipe (red),common,1,OMN074,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN074.webp,fg6fdKmQkGmCgkGprpKRR,Red,1,0,3,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets """"When this attacks a hero, deal 1 arcane damage to them.""""",,,,,,,,102,0.29737609329446063,0.24950836079479258,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.10740788692276565,102,0.9357798165137615,0.7851501628680171,0.33754965186841346,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11251655062280448
Stunning Swipe (yellow),common,2,OMN075,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN075.webp,zn8NpMnDBcKzGhLj9Cp6J,Yellow,2,0,2,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets """"When this attacks a hero, deal 1 arcane damage to them.""""",,,,,,,,55,0.16034985422740525,0.13583485205103782,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,1.5547556656204107,1.458006968641115,0.08280793977689396,55,0.5045871559633027,0.4274436170046419,0.2730920708704047,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0910306902901349
Stunning Swipe (blue),common,3,OMN076,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN076.webp,T7GW8p6RPN7C9Bk8bLWDd,Blue,3,0,1,3,,,1,"Lightning, Runeblade, Action, Attack",,Quickstrike,,,,,Go again,"""**Quickstrike** - If this has go again, it gets """"When this attacks a hero, deal 1 arcane damage to them.""""",,,,,,,,76,0.22157434402332363,0.187751529014538,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.08002940594245284,76,0.6972477064220184,0.590814444513638,0.25150758374509236,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.08383586124836412
Voltbound Duality (red),common,1,OMN077,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN077.webp,ChgnM7DhdJNqhDRww6Qbz,Red,1,0,4,3,,,1,"Lightning, Runeblade, Action, Attack",,,Instant,,,,,"**Instant** - {r}, discard this: Deal 1 arcane damage to target hero. Create a Lightning Flow token.",Lightning Runeblade Action - Attack,,,,,,,95,0.27696793002915454,0.23416366847799572,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.10003675742806604,95,0.8715596330275229,0.7368636540179132,0.31438447968136546,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10479482656045515
Voltbound Duality (yellow),common,2,OMN078,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN078.webp,rLDftPkdRdRH8bwwwhWkg,Yellow,2,0,3,3,,,1,"Lightning, Runeblade, Action, Attack",,,Instant,,,,,"**Instant** - {r}, discard this: Deal 1 arcane damage to target hero. Create a Lightning Flow token.",Lightning Runeblade Action - Attack,,,,,,,75,0.21865889212827988,0.18719242683619244,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,1.5547556656204107,1.458006968641115,0.11291991787758268,75,0.6880733944954128,0.5890550679340735,0.3723982784596428,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1241327594865476
Voltbound Duality (blue),common,3,OMN079,"Lightning, Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN079.webp,dpLGTBmrFfpKctGmQcHtw,Blue,3,0,2,3,,,1,"Lightning, Runeblade, Action, Attack",,,Instant,,,,,"**Instant** - {r}, discard this: Deal 1 arcane damage to target hero. Create a Lightning Flow token.",Lightning Runeblade Action - Attack,,,,,,,118,0.34402332361516036,0.2898319380664198,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.12425618291065045,118,1.0825688073394495,0.9120399518970825,0.3904986168673803,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1301662056224601
Electryn Joltstep (red),common,1,OMN080,"Lightning, Runeblade, Action",https://prod-content.fabrary.io/cards/OMN080.webp,CKGFjmKNk6mhMHThPGmK6,Red,1,1,,3,,,,"Lightning, Runeblade, Action",,Go again,,,,,,"""Your next Runeblade or Lightning attack this turn gets +3{p}.",,,,,,,,122,0.3556851311953353,0.3002442138154451,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.12846825690762165,122,1.1192660550458715,0.9448051865935566,0.403735858117122,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.134578619372374
Electryn Joltstep (yellow),common,2,OMN081,"Lightning, Runeblade, Action",https://prod-content.fabrary.io/cards/OMN081.webp,7DnnzwcQQQbdHtcDJ9PJG,Yellow,2,1,,3,,,,"Lightning, Runeblade, Action",,Go again,,,,,,"""Your next Runeblade or Lightning attack this turn gets +2{p}.",,,,,,,,103,0.30029154518950435,0.2532745783683377,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.10846090542200845,103,0.944954128440367,0.797001654865503,0.3408589621808489,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11361965406028296
Electryn Joltstep (blue),common,3,OMN082,"Lightning, Runeblade, Action",https://prod-content.fabrary.io/cards/OMN082.webp,GmwDh7pgHwFkGnTTKCL9W,Blue,3,1,,3,,,,"Lightning, Runeblade, Action",,Go again,,,,,,"""Your next Runeblade or Lightning attack this turn gets +1{p}.",,,,,,,,93,0.27113702623906705,0.2286237417372336,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.09793072042958044,93,0.8532110091743119,0.719430673540102,0.3077658590564946,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1025886196854982
Quick Succession (red),common,1,OMN083,"Lightning, Runeblade, Action",https://prod-content.fabrary.io/cards/OMN083.webp,fbKwcPnqhWKbTWd6M9Wbc,Red,1,0,,2,,,,"Lightning, Runeblade, Action",,Go again,,,Go again,,,"""The next Runeblade or Lightning attack action card you play this turn gets **go again**.",,,,,,,,72,0.2099125364431487,0.18053513176393157,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,1.5547556656204107,1.458006968641115,0.10840312116247937,72,0.6605504587155964,0.5681059650920048,0.3575023473212571,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1191674491070857
Quick Succession (yellow),common,2,OMN084,"Lightning, Runeblade, Action",https://prod-content.fabrary.io/cards/OMN084.webp,WLRcb8jRrktGNqbttwfWF,Yellow,2,0,,2,,,,"Lightning, Runeblade, Action",,Go again,,,Go again,,,"""The next Runeblade or Lightning attack action card you play this turn gets **go again**.",,,,,,,,91,0.2653061224489796,0.22258396386879942,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.09582468343109485,91,0.8348623853211009,0.7004247670366808,0.3011472384316238,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10038241281054126
Quick Succession (blue),common,3,OMN085,"Lightning, Runeblade, Action",https://prod-content.fabrary.io/cards/OMN085.webp,HHLWJzrFMfcnpmN8J6MrC,Blue,3,0,,2,,,,"Lightning, Runeblade, Action",,Go again,,,Go again,,,"""The next Runeblade or Lightning attack action card you play this turn gets **go again**.",,,,,,,,92,0.26822157434402333,0.22493605451541834,2.8108826952611166,2.3138034985542326,2.5073220240684364,2.5222353404171587,2.920609324156996,2.7262996515679427,0.09687770193033765,92,0.8440366972477065,0.7078262999888852,0.3044565487440592,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10148551624801973
Caress of the Reaper (red),mythic,1,OMN087,"Runeblade, Action, Attack",https://prod-content.fabrary.io/cards/OMN087.webp,ChBRBzBFFFMhqj9tp8mBd,Red,1,1,5,3,,,,"Runeblade, Action, Attack",,,,,,,,"Whenever this deals damage to a hero, destroy target aura they control.",Runeblade Action - Attack,,,,No,No,,16,0.04664723032069971,0.04007327643248177,0.5536304346328936,0.45558331731693247,0.3662809917355372,0.32,0.32,0.4666666666666669,0.10943079699726448,16,0.14678899082568808,0.12610214510404813,0.35785220412498436,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.11928406804166146
